Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
44,33736,species,Bullock's Oriole,Icterus bullockii,2,Yosemite Valley--Headquarters area,US-CA,20 Jun 2024,L747255,S182791608,,1
45,34200,species,Black-throated Gray Warbler,Setophaga nigrescens,1,Yosemite NP--Nevada Fall,US-CA,20 Jun 2024,L27966580,S182791569,,1
46,34559,species,Black-headed Grosbeak,Pheucticus melanocephalus,2,Yosemite NP--Glacier Pt.,US-CA,20 Jun 2024,L595393,S182791575,,1
47,34439,species,Western Tanager,Piranga ludoviciana,1,Yosemite NP--Glacier Pt.,US-CA,20 Jun 2024,L595393,S182791575,,1
48,33385,species,Green-tailed Towhee,Pipilo chlorurus,2,Yosemite NP--Glacier Pt.,US-CA,20 Jun 2024,L595393,S182791575,,1
49,11451,species,White-headed Woodpecker,Leuconotopicus albolarvatus,3,Yosemite NP--Glacier Pt.,US-CA,20 Jun 2024,L595393,S182791575,,1
50,34061,species,Cerulean Warbler,Setophaga cerulea,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,11 May 2024,L161180,S173461268,,1
51,612,species,Green-winged Teal,Anas crecca,4,Exton Park,US-PA,21 Nov 2023,L1306255,S154904355,,1
52,505,species,Gadwall,Mareca strepera,1,Exton Park,US-PA,21 Nov 2023,L1306255,S154904355,,1
53,9276,species,Short-eared Owl,Asio flammeus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,01 Apr 2023,L161180,S132373682,,1
54,22077,species,Mountain Chickadee,Poecile gambeli,1,Devil's Bridge Trail,US-AZ,14 Mar 2023,L3350741,S130939460,,1
55,21309,species,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,3,Soldier Pass Trailhead,US-AZ,14 Mar 2023,L16651204,S131106140,,1
56,27150,species,Rock Wren,Salpinctes obsoletus,2,Camelback Mountain Recreation Area,US-AZ,13 Mar 2023,L299206,S130854193,,1
57,27133,species,Black-tailed Gnatcatcher,Polioptila melanura,2,Camelback Mountain Recreation Area,US-AZ,13 Mar 2023,L299206,S130854193,,1
58,22269,species,Verdin,Auriparus flaviceps,3,Camelback Mountain Recreation Area,US-AZ,13 Mar 2023,L299206,S130854193,,1
59,33330,species,Canyon Towhee,Melozone fusca,2,McDowell Sonoran Preserve--Tom's Thumb Area,US-AZ,11 Mar 2023,L3705390,S130702783,,1
60,33018,species,Black-throated Sparrow,Amphispiza bilineata,5,McDowell Sonoran Preserve--Tom's Thumb Area,US-AZ,11 Mar 2023,L3705390,S130702783,,1
61,28024,species,Curve-billed Thrasher,Toxostoma curvirostre,2,McDowell Sonoran Preserve--Tom's Thumb Area,US-AZ,11 Mar 2023,L3705390,S130702783,,1
62,4818,species,Costa's Hummingbird,Calypte costae,1,McDowell Sonoran Preserve--Tom's Thumb Area,US-AZ,11 Mar 2023,L3705390,S130702783,,1
63,3038,species,Greater Roadrunner,Geococcyx californianus,1,McDowell Sonoran Preserve--Tom's Thumb Area,US-AZ,11 Mar 2023,L3705390,S130702783,,1
64,1105,species,Gambel's Quail,Callipepla gambelii,1,McDowell Sonoran Preserve--Tom's Thumb Area,US-AZ,11 Mar 2023,L3705390,S130702783,,1
66,6622,species,Black Skimmer,Rynchops niger,3,Naples Pier,US-FL,09 Feb 2023,L760418,S127927115,,1
67,17479,species,Loggerhead Kingbird,Tyrannus caudifasciatus,1,Hyatt Zilara Rose Hall,JM-08,18 Dec 2022,L21825909,S124204916,,1
68,4188,species,Antillean Palm Swift,Tachornis phoenicobia,1,Hyatt Zilara Rose Hall,JM-08,18 Dec 2022,L21825909,S124204916,,1
69,4810,species,Vervain Hummingbird,Mellisuga minima,1,Hyatt Zilara Rose Hall,JM-08,17 Dec 2022,L21825909,S124136902,,1
70,22710,species,Horned Lark,Eremophila alpestris,2,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,08 Oct 2022,L161180,S120189424,,1
71,7560,species,American Bittern,Botaurus lentiginosus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,08 Oct 2022,L161180,S120189424,,1
72,6207,species,Purple Sandpiper,Calidris maritima,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,17 Sep 2022,L161180,S118890774,,1
73,6474,species,Black-headed Gull,Chroicocephalus ridibundus,8,Venezia (area generale),IT-34,27 Jun 2022,L1272698,S113895958,,1
74,32552,species,European Goldfinch,Carduelis carduelis,1,Giardino di Boboli,IT-52,26 Jun 2022,L1597413,S113799903,,1
75,31720,species,White Wagtail,Motacilla alba,1,Giardino di Boboli,IT-52,26 Jun 2022,L1597413,S113799903,,1
76,22114,species,Eurasian Blue Tit,Cyanistes caeruleus,1,Giardino di Boboli,IT-52,26 Jun 2022,L1597413,S113799903,,1
77,21514,species,Eurasian Jackdaw,Coloeus monedula,10,San Gimignano,IT-52,25 Jun 2022,L2418081,S113746316,,1
78,32731,species,Cirl Bunting,Emberiza cirlus,1,Siena,IT-52,25 Jun 2022,L4508379,S113746366,,1
79,21467,species,Eurasian Magpie,Pica pica,1,Siena,IT-52,25 Jun 2022,L4508379,S113746366,,1
80,7714,species,Squacco Heron,Ardeola ralloides,1,Firenze (area generale),IT-52,24 Jun 2022,L2313664,S113655769,,1
81,7397,species,Great Cormorant,Phalacrocorax carbo,1,Firenze (area generale),IT-52,24 Jun 2022,L2313664,S113655769,,1
82,7745,species,Gray Heron,Ardea cinerea,1,Lungarno (Arno river),IT-52,23 Jun 2022,L1597407,S113611127,,1
83,7650,species,Little Egret,Egretta garzetta,2,Lungarno (Arno river),IT-52,23 Jun 2022,L1597407,S113611127,,1
84,1885,species,Common Wood-Pigeon,Columba palumbus,3,Lungarno (Arno river),IT-52,23 Jun 2022,L1597407,S113611127,,1
85,32572,species,European Serin,Serinus serinus,2,Colosseo (Colosseum or Coliseum),IT-62,21 Jun 2022,L1107525,S113505422,,1
86,29652,species,Blue Rock-Thrush,Monticola solitarius,1,Colosseo (Colosseum or Coliseum),IT-62,21 Jun 2022,L1107525,S113505422,,1
87,28500,species,Eurasian Blackbird,Turdus merula,1,Colosseo (Colosseum or Coliseum),IT-62,21 Jun 2022,L1107525,S113505422,,1
88,11993,species,Eurasian Kestrel,Falco tinnunculus,1,Colosseo (Colosseum or Coliseum),IT-62,21 Jun 2022,L1107525,S113505422,,1
89,12350,species,Rose-ringed Parakeet,Psittacula krameri,7,Orto Botanico di Roma,IT-62,20 Jun 2022,L1157651,S113335282,N,1
90,5462,species,Eurasian Moorhen,Gallinula chloropus,1,Orto Botanico di Roma,IT-62,20 Jun 2022,L1157651,S113335282,,1
91,31549,species,Italian Sparrow,Passer italiae,2,Ponte Sant'Angelo,IT-62,19 Jun 2022,L6482577,S113304043,,1
92,24214,species,Western House-Martin,Delichon urbicum,6,Ponte Sant'Angelo,IT-62,19 Jun 2022,L6482577,S113304043,,1
93,21578,species,Hooded Crow,Corvus cornix,1,Ponte Sant'Angelo,IT-62,19 Jun 2022,L6482577,S113304043,,1
94,6552,species,Yellow-legged Gull,Larus michahellis,5,Ponte Sant'Angelo,IT-62,19 Jun 2022,L6482577,S113304043,,1
95,4094,species,Common Swift,Apus apus,5,Ponte Sant'Angelo,IT-62,19 Jun 2022,L6482577,S113304043,,1
96,6699,species,Least Tern,Sternula antillarum,2,Castle Island and Pleasure Bay,US-MA,29 May 2022,L452353,S111631515,,1
97,19244,species,Philadelphia Vireo,Vireo philadelphicus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 May 2022,L161180,S109990861,,1
98,33957,species,Blue-winged Warbler,Vermivora cyanoptera,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,13 May 2022,L161180,S109856432,,1
99,31883,species,American Pipit,Anthus rubescens,2,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,13 May 2022,L161180,S109856432,,1
100,33564,species,Bobolink,Dolichonyx oryzivorus,4,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,08 May 2022,L161180,S109304495,,1
101,33029,species,Lark Sparrow,Chondestes grammacus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 May 2022,L161180,S109201176,,1
102,5941,species,Snowy Plover,Anarhynchus nivosus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,23 Apr 2022,L161180,S107783431,,1
103,34621,species,Painted Bunting,Passerina ciris,2,Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,US-FL,05 Mar 2022,L1061691,S104216339,,1
104,445,species,Muscovy Duck,Cairina moschata,6,Sugden Regional Park,US-FL,04 Mar 2022,L656190,S104134730,N,1
105,9133,species,Burrowing Owl,Athene cunicularia,1,Arboretum Circle,US-FL,02 Mar 2022,L17975932,S104023753,,1
106,6731,species,Forster's Tern,Sterna forsteri,14,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,11 Aug 2021,L161180,S93100978,,1
107,5836,species,Piping Plover,Charadrius melodus,4,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,19 Jul 2021,L161180,S91978592,,1
108,24051,species,Bank Swallow,Riparia riparia,40,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,10 Jul 2021,L161180,S91525896,,1
109,34011,species,Kentucky Warbler,Geothlypis formosa,1,"Unnamed Road, Chillicothe, Ohio, US (39.446, -83.072)",US-OH,13 Jun 2021,L9671891,S90125412,,1
110,16950,species,Acadian Flycatcher,Empidonax virescens,1,"Unnamed Road, Chillicothe, Ohio, US (39.446, -83.072)",US-OH,13 Jun 2021,L9671891,S90125412,,1
111,6591,species,California Gull,Larus californicus,3,Mother's Beach,US-CA,30 May 2021,L1336659,S89319677,,1
112,32324,species,Purple Finch,Haemorhous purpureus,3,Gaviota State Park,US-CA,30 May 2021,L613644,S89289613,,1
113,29909,species,Phainopepla,Phainopepla nitens,5,Gaviota State Park,US-CA,30 May 2021,L613644,S89289613,,1
114,28054,species,California Thrasher,Toxostoma redivivum,1,Gaviota State Park,US-CA,30 May 2021,L613644,S89289613,,1
115,4158,species,White-throated Swift,Aeronautes saxatalis,1,Gaviota State Park,US-CA,30 May 2021,L613644,S89289613,,1
116,21477,species,Yellow-billed Magpie,Pica nuttalli,1,"Figueroa Mountain Road, Santa Ynez, California, US (34.701, -120.113)",US-CA,29 May 2021,L15150128,S89203711,,1
117,33350,species,California Towhee,Melozone crissalis,5,Birabent Canyon,US-CA,29 May 2021,L2771988,S89203778,,1
118,22150,species,Oak Titmouse,Baeolophus inornatus,4,Birabent Canyon,US-CA,29 May 2021,L2771988,S89203778,,1
119,11410,species,Nuttall's Woodpecker,Dryobates nuttallii,1,Birabent Canyon,US-CA,29 May 2021,L2771988,S89203778,,1
121,1966,species,Band-tailed Pigeon,Patagioenas fasciata,8,Big Sur--Nepenthe,US-CA,27 May 2021,L1655498,S89096656,,1
122,17323,species,Ash-throated Flycatcher,Myiarchus cinerascens,1,Pfeiffer Big Sur SP,US-CA,27 May 2021,L317501,S89091552,,1
123,16890,species,Olive-sided Flycatcher,Contopus cooperi,1,Pfeiffer Big Sur SP,US-CA,27 May 2021,L317501,S89091552,,1
124,7808,species,California Condor,Gymnogyps californianus,1,Pfeiffer Big Sur SP,US-CA,27 May 2021,L317501,S89091552,,1
125,26924,species,Pygmy Nuthatch,Sitta pygmaea,2,Pt. Lobos State Reserve,US-CA,26 May 2021,L199245,S89040448,,1
126,25431,species,Wrentit,Chamaea fasciata,1,Pt. Lobos State Reserve,US-CA,26 May 2021,L199245,S89032717,,1
127,25253,species,Bushtit,Psaltriparus minimus,1,Pt. Lobos State Reserve,US-CA,26 May 2021,L199245,S89032717,,1
128,16998,species,Black Phoebe,Sayornis nigricans,2,Pt. Lobos State Reserve,US-CA,26 May 2021,L199245,S89032717,,1
129,11146,species,Acorn Woodpecker,Melanerpes formicivorus,5,Pt. Lobos State Reserve,US-CA,26 May 2021,L199245,S89032717,,1
130,7389,species,Brandt's Cormorant,Urile penicillatus,600,Pt. Lobos State Reserve,US-CA,26 May 2021,L199245,S89032717,,1
131,5806,species,Black Oystercatcher,Haematopus bachmani,1,Pt. Lobos State Reserve,US-CA,26 May 2021,L199245,S89032717,,1
132,13203,species,Red-masked Parakeet,Psittacara erythrogenys,15,RUSS BRIGHT PARK (formerly Ferry / Sue Bierman Park),US-CA,25 May 2021,L1284799,S89001767,N,1
133,27288,species,Pacific Wren,Troglodytes pacificus,2,Muir Woods NM--Main Trail,US-CA,25 May 2021,L2913605,S89000739,,1
134,21303,species,California Scrub-Jay,Aphelocoma californica,1,Palomarin Trail,US-CA,25 May 2021,L884109,S88981774,,1
135,21274,species,Steller's Jay,Cyanocitta stelleri,1,Palomarin Trail,US-CA,25 May 2021,L884109,S88981774,,1
136,4831,species,Allen's Hummingbird,Selasphorus sasin,1,Palomarin Trail,US-CA,25 May 2021,L884109,S88981774,,1
137,1094,species,California Quail,Callipepla californica,1,Palomarin Trail,US-CA,25 May 2021,L884109,S88981774,,1
138,33682,species,Hooded Oriole,Icterus cucullatus,1,"7750 Giusti Road, Forestville, California, US (38.486, -122.903)",US-CA,22 May 2021,L15037017,S88729261,,1
139,314,species,Brant,Branta bernicla,5,Bodega Bay--harbor and immediate vicinity,US-CA,21 May 2021,L109489,S88677153,,1
140,6051,species,Marbled Godwit,Limosa fedoa,3,Bodega Bay--harbor and immediate vicinity,US-CA,21 May 2021,L109489,S88669406,,1
141,28136,species,Western Bluebird,Sialia mexicana,2,"7750 Giusti Road, Forestville, California, US (38.486, -122.903)",US-CA,21 May 2021,L15037017,S88657026,,1
142,27362,species,Bewick's Wren,Thryomanes bewickii,1,Kirby Cove,US-CA,20 May 2021,L1103976,S88623163,,1
143,24074,species,Violet-green Swallow,Tachycineta thalassina,2,Kirby Cove,US-CA,20 May 2021,L1103976,S88623163,,1
144,22094,species,Chestnut-backed Chickadee,Poecile rufescens,2,Kirby Cove,US-CA,20 May 2021,L1103976,S88623163,,1
146,33848,species,Rusty Blackbird,Euphagus carolinus,2,Theodore Roosevelt Island,US-DC,17 Apr 2021,L718768,S85708070,,1
147,1477,species,Ring-necked Pheasant,Phasianus colchicus,7,"42813-43133 Elm Island Road, Gibbon, Nebraska, US (40.664, -98.891)",US-NE,09 Apr 2021,L14388386,S85191876,N,1
148,33563,species,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,1,Platte River--Lowell Rd crossing,US-NE,09 Apr 2021,L508636,S85144133,,1
149,33565,species,Western Meadowlark,Sturnella neglecta,1,Fort Kearny SRA--south Platte River bridge,US-NE,08 Apr 2021,L1111719,S85130468,,1
150,8256,species,Sharp-shinned Hawk,Accipiter striatus,1,Indiana Dunes SP--Observation Tower,US-IN,05 Apr 2021,L2091564,S84846824,,1
151,34153,species,Pine Warbler,Setophaga pinus,2,Audubon Corkscrew Swamp Sanctuary,US-FL,15 Mar 2021,L127407,S83449609,,1
152,19165,species,White-eyed Vireo,Vireo griseus,1,Audubon Corkscrew Swamp Sanctuary,US-FL,15 Mar 2021,L127407,S83449609,,1
153,5515,species,Purple Gallinule,Porphyrio martinica,2,Audubon Corkscrew Swamp Sanctuary,US-FL,15 Mar 2021,L127407,S83449609,,1
154,7921,species,Swallow-tailed Kite,Elanoides forficatus,4,Sanibel Island (please consider using a more precise location),US-FL,11 Mar 2021,L481080,S83190323,,1
155,21091,species,Loggerhead Shrike,Lanius ludovicianus,1,Rookery Bay NERR--Briggs Boardwalk,US-FL,13 Jan 2021,L295606,S79175108,,1
156,7634,species,Reddish Egret,Egretta rufescens,2,J. N. Ding Darling NWR--Wildlife Drive,US-FL,10 Jan 2021,L823147,S79008984,,1
157,19226,species,Blue-headed Vireo,Vireo solitarius,2,J. N. Ding Darling NWR--Indigo Trail,US-FL,10 Jan 2021,L889504,S79003994,,1
158,8501,species,Short-tailed Hawk,Buteo brachyurus,1,J. N. Ding Darling NWR--Wildlife Drive,US-FL,10 Jan 2021,L823147,S78995127,,1
159,7791,species,American White Pelican,Pelecanus erythrorhynchos,500,J. N. Ding Darling NWR--Wildlife Drive,US-FL,10 Jan 2021,L823147,S78995127,,1
160,7533,species,Roseate Spoonbill,Platalea ajaja,4,J. N. Ding Darling NWR--Wildlife Drive,US-FL,10 Jan 2021,L823147,S78995127,,1
161,575,species,Mottled Duck,Anas fulvigula,4,J. N. Ding Darling NWR--Wildlife Drive,US-FL,10 Jan 2021,L823147,S78995127,,1
163,7306,species,Wood Stork,Mycteria americana,1,Audubon Corkscrew Swamp Sanctuary,US-FL,09 Jan 2021,L127407,S78929437,,1
164,5671,species,Limpkin,Aramus guarauna,1,Audubon Corkscrew Swamp Sanctuary,US-FL,09 Jan 2021,L127407,S78929437,,1
165,34185,species,Prairie Warbler,Setophaga discolor,1,Delnor-Wiggins Pass SP,US-FL,08 Jan 2021,L833946,S78867132,,1
166,7367,species,Anhinga,Anhinga anhinga,1,Naples Zoo at Caribbean Gardens,US-FL,07 Jan 2021,L1434519,S78836282,,1
167,6161,species,Ruddy Turnstone,Arenaria interpres,3,Barefoot Beach County Preserve,US-FL,06 Jan 2021,L810737,S78797361,,1
168,6147,species,Willet,Tringa semipalmata,1,Barefoot Beach County Preserve,US-FL,06 Jan 2021,L810737,S78797361,,1
169,9219,species,Barred Owl,Strix varia,1,Catalpa Creek,US-OH,18 Dec 2020,L9037370,S77643321,,1
170,594,species,Northern Pintail,Anas acuta,1,Lincoln Park Zoo,US-IL,07 Dec 2020,L1573785,S77222165,,1
171,267,species,Snow Goose,Anser caerulescens,1,Lincoln Park--North Pond,US-IL,08 Nov 2020,L152691,S76000546,,1
172,27295,species,Winter Wren,Troglodytes hiemalis,1,Northwestern University (Main Campus and Lakefill),US-IL,17 Oct 2020,L152692,S74949024,,1
173,34218,species,Black-throated Green Warbler,Setophaga virens,2,Northwestern University (Main Campus and Lakefill),US-IL,20 Sep 2020,L152692,S73820857,,1
174,26937,species,Red-breasted Nuthatch,Sitta canadensis,6,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,16 Sep 2020,L161180,S73663300,,1
176,6562,species,Great Black-backed Gull,Larus marinus,1,Sandbridge Beach,US-VA,31 Jul 2020,L1405901,S71973831,,1
177,6789,species,Royal Tern,Thalasseus maximus,2,Sandbridge Beach,US-VA,30 Jul 2020,L1405901,S71953977,,1
178,6748,species,Common Tern,Sterna hirundo,3,Sandbridge Beach,US-VA,30 Jul 2020,L1405901,S71953977,,1
179,33858,species,Boat-tailed Grackle,Quiscalus major,5,**Back Bay NWR,US-VA,28 Jul 2020,L718307,S71892075,,1
180,7467,species,Glossy Ibis,Plegadis falcinellus,3,**Back Bay NWR,US-VA,28 Jul 2020,L718307,S71892075,,1
181,7462,species,White Ibis,Eudocimus albus,12,**Back Bay NWR,US-VA,28 Jul 2020,L718307,S71892075,,1
182,6775,species,Sandwich Tern,Thalasseus sandvicensis,1,Sandbridge Beach,US-VA,27 Jul 2020,L1405901,S71881711,,1
183,7832,species,Osprey,Pandion haliaetus,1,**Back Bay NWR,US-VA,26 Jul 2020,L718307,S71830971,,1
186,21570,species,Fish Crow,Corvus ossifragus,2,Mount Trashmore Park,US-VA,25 Jul 2020,L4132095,S71811407,,1
187,6490,species,Laughing Gull,Leucophaeus atricilla,5,Mount Trashmore Park,US-VA,25 Jul 2020,L4132095,S71811407,,1
188,382,species,Trumpeter Swan,Cygnus buccinator,5,Rollins Savanna Forest Preserve,US-IL,13 Jun 2020,L1568862,S70385737,,1
189,34344,species,Canada Warbler,Cardellina canadensis,1,Northwestern University (Main Campus and Lakefill),US-IL,22 May 2020,L152692,S69452256,,1
190,34083,species,Bay-breasted Warbler,Setophaga castanea,3,Northwestern University (Main Campus and Lakefill),US-IL,22 May 2020,L152692,S69452256,,1
191,33972,species,Tennessee Warbler,Leiothlypis peregrina,1,Clark Street Beach Bird Sanctuary,US-IL,21 May 2020,L3615041,S69409168,,1
192,32996,species,Clay-colored Sparrow,Spizella pallida,1,Clark Street Beach Bird Sanctuary,US-IL,21 May 2020,L3615041,S69409168,,1
194,34006,species,Mourning Warbler,Geothlypis philadelphia,1,Northwestern University (Main Campus and Lakefill),US-IL,20 May 2020,L152692,S69360610,,1
195,34138,species,Blackpoll Warbler,Setophaga striata,1,Northwestern University (Main Campus and Lakefill),US-IL,19 May 2020,L152692,S69305327,,1
196,33310,species,Lincoln's Sparrow,Melospiza lincolnii,3,Northwestern University (Main Campus and Lakefill),US-IL,18 May 2020,L152692,S69259844,,1
197,28313,species,Veery,Catharus fuscescens,1,Northwestern University (Main Campus and Lakefill),US-IL,18 May 2020,L152692,S69259844,,1
198,778,species,Ruddy Duck,Oxyura jamaicensis,1,Northwestern University (Main Campus and Lakefill),US-IL,18 May 2020,L152692,S69259844,,1
199,34557,species,Rose-breasted Grosbeak,Pheucticus ludovicianus,3,Cincinnati Nature Center--Rowe Woods,US-OH,13 May 2020,L322642,S68973894,,1
200,34436,species,Scarlet Tanager,Piranga olivacea,1,Cincinnati Nature Center--Rowe Woods,US-OH,13 May 2020,L322642,S68973894,,1
201,34133,species,Chestnut-sided Warbler,Setophaga pensylvanica,1,Cincinnati Nature Center--Rowe Woods,US-OH,13 May 2020,L322642,S68973894,,1
202,34057,species,Hooded Warbler,Setophaga citrina,1,Catalpa Creek,US-OH,12 May 2020,L9037370,S68925796,,1
203,34084,species,Blackburnian Warbler,Setophaga fusca,1,"Sharon Woods Park, Sharonville",US-OH,30 Apr 2020,L592770,S68096875,,1
204,19220,species,Yellow-throated Vireo,Vireo flavifrons,1,"Sharon Woods Park, Sharonville",US-OH,30 Apr 2020,L592770,S68096875,,1
205,34087,species,Northern Yellow Warbler,Setophaga aestiva,1,Miami Whitewater Forest--Shaker Trace Wetlands,US-OH,25 Apr 2020,L210242,S67773655,,1
206,33963,species,Prothonotary Warbler,Protonotaria citrea,1,"Sharon Woods Park, Sharonville",US-OH,20 Apr 2020,L592770,S67541094,,1
207,8910,species,Great Horned Owl,Bubo virginianus,2,Otto Armleder Memorial Park,US-OH,09 Apr 2020,L298164,S66862996,,1
208,6933,species,Common Loon,Gavia immer,1,"Sharon Woods Park, Sharonville",US-OH,05 Apr 2020,L592770,S66669176,,1
